wikipedia_title,wikidata_id,party_raw,party_group
Edmund L. Oldfield,Q116222090,Democratic Party,Democrat
Edmund L. Pitts,Q5339625,Republican Party,Republican
Edmund Mann Pope,Q111230435,,Other
Edmund Muskie,Q319867,Democratic Party,Democrat
Edmund N. Carpenter,Q5339691,Republican Party,Republican
Edmund N. Orbeck,Q112466794,Democratic Party,Democrat
Edmund Needham Morrill,Q973506,Republican Party,Republican
Edmund O'Connor,Q5339698,Republican Party,Republican
Edmund P. Hunter,Q60197960,Whig Party,Other
Edmund P. Radigan,Q5339718,Republican Party,Republican
Edmund P. Radwan,Q5339719,Republican Party,Republican
Edmund Parr,Q16856718,Republican Party,Republican
Edmund Perry (politician),Q116691910,,Other
Edmund Pettus,Q1286715,Democratic Party,Democrat
Edmund Platt,Q1286733,Republican Party,Republican
Edmund R. Cocke,Q108280808,,Other
Edmund Randolph,Q318703,Federalist Party,Other
Edmund Rice (politician),Q1286771,Democratic Party,Democrat
Edmund Rowe,Q5339797,Republican Party,Republican
Edmund S. Dargan,Q1286905,Democratic Party,Democrat
Edmund Scarborough (Mississippi politician),Q106559815,Republican Party,Republican
Edmund Seidel,Q16066929,,Other
Edmund Sieminski,Q5339829,Republican Party,Republican
Edmund Spangler,Q3048133,,Other
Edmund T. Hulaniski,Q93383932,,Other
Edmund T. Melms,Q16029223,,Other
Edmund V. Bobrowicz,Q5339880,Democratic Party,Democrat
Edmund Varney,Q5339885,Democratic Party,Democrat
Edmund W. Flynn,Q99529486,Democratic Party,Democrat
Edmund W. Hubard,Q1286936,Democratic Party,Democrat
Edmund W. M. Mackey,Q1286971,Republican Party,Republican
Edmund W. Samuel,Q5339891,Republican Party,Republican
Edmund W. Wakelee,Q110128182,Republican Party,Republican
Edmund Waddill Jr.,Q1286933,Republican Party,Republican
Edna Beard,Q16030288,Republican Party,Republican
Edna Brown,Q5340021,Democratic Party,Democrat
Edna DeVries,Q111467584,,Other
Edna F. Kelly,Q1967257,Democratic Party,Democrat
Edna Giles Fuller,Q20707291,,Other
Edna Hall Scott Kump,Q5340049,,Other
Edna Jackson (politician),Q15276782,Democratic Party,Democrat
Edna O. Simpson,Q5340085,Republican Party,Republican
Edna Telford,Q104036484,,Other
Edna Wilson-Mosley,Q111734795,,Other
Edness Kimball Wilkins,Q74455382,Democratic Party,Democrat
Edolo J. Giorgi,Q18927071,Democratic Party,Democrat
Edolphus Towns,Q600005,Democratic Party,Democrat
Edouard Izac,Q1287577,Democratic Party,Democrat
Edson A. Putnam,Q19975086,,Other
Edson B. Olds,Q5340294,Democratic Party,Democrat
Edson Deal,Q5340308,Republican Party,Republican
Eduard Rivera Correa,Q5340464,Popular Democratic Party,Democrat
Eduardo Bhatia,Q5340534,Popular Democratic Party,Democrat
Eduardo Cintrón,Q5340565,Popular Democratic Party,Democrat
Eduardo Ferrer,Q5340607,Popular Democratic Party,Democrat
Eduardo Garcia (politician),Q18686283,California Democratic Party,Democrat
Eduardo Georgetti,Q5340621,,Other
Eduardo González (politician),Q5340626,Republican Party,Republican
Eduardo Malapit,Q5340677,Democratic Party,Democrat
Eduardo Martinez (politician),Q131450272,,Other
Eduardo Ruberté Bisó,Q5340755,,Other
"Edward ""Smitty"" Smith",Q17403233,Democratic Party,Democrat
Edward A. Burke,Q5341438,Democratic Party,Democrat
Edward A. Clampitt,Q5341443,,Other
Edward A. Everett (New York politician),Q107272312,Republican Party,Republican
Edward A. Everett (Wisconsin politician),Q53414634,Republican Party,Republican
Edward A. Geary,Q27178496,Republican Party,Republican
Edward A. Gilbert,Q5341454,Republican Party,Republican
Edward A. Grouby Jr.,Q94545530,,Other
Edward A. Hanna,Q116180873,,Other
Edward A. Hannegan,Q826796,Democratic Party,Democrat
Edward A. Johnson,Q5341458,Republican Party,Republican
Edward A. Keenan,Q76857592,,Other
Edward A. Kelly,Q4476041,Democratic Party,Democrat
Edward A. Kenney,Q1291539,Democratic Party,Democrat
Edward A. Lambert,Q105627980,,Other
Edward A. Lawrence,Q5341463,Democratic Party,Democrat
Edward A. Maher,Q112122209,Democratic Party,Democrat
Edward A. Noonan,Q5341467,Democratic Party,Democrat
Edward A. O'Neal,Q165355,Democratic Party,Democrat
Edward A. Rath,Q5342161,Republican Party,Republican
Edward A. Rollins,Q56952016,,Other
Edward A. Seymour,Q5341478,Republican Party,Republican
Edward A. Stevenson,Q442050,Democratic Party,Democrat
Edward A. Stevenson Sr.,Q16078936,Democratic Party,Democrat
Edward A. Teichert,Q21857404,,Other
Edward A. Warman,Q124125070,Democratic Party,Democrat
Edward A. Warren,Q1291496,Democratic Party,Democrat
Edward A. Wilcox,Q17479575,Republican Party,Republican
Edward Abend,Q16030935,Democratic Party,Democrat
Edward Abramson,Q64562700,Democratic Party,Democrat
Edward Acevedo (politician),Q5341497,Democratic Party,Democrat
Edward Ackley,Q16014703,Republican Party,Republican
Edward Alden Egery,Q110305983,Democratic Party,Democrat
Edward Allen Fulton,Q107503926,,Other
Edward Anderson (19th-century Texas politician),Q104830029,,Other
Edward Anderson (20th-century Texas politician),Q115800509,Democratic Party,Democrat
Edward Anderson Wearin,Q116932788,,Other
Edward Angus Powell Jr.,Q5341574,,Other
Edward Augustus (politician),Q5344245,Democratic Party,Democrat
Edward Augustus Dickson,Q15998805,Republican Party,Republican
Edward Avery (judge),Q5341653,Whig Party,Other
Edward Azrael,Q108858000,,Other
Edward B. Almon,Q1291600,Democratic Party,Democrat
Edward B. Bullard,Q16106194,Democratic Party,Democrat
Edward B. Cottingham,Q18808553,,Other
Edward B. Jackson,Q1291615,Democratic-Republican Party,Democrat
Edward B. Judson,Q113124314,,Other
Edward B. McKenna,Q5341672,Democratic Party,Democrat
Edward B. Osborne,Q5341676,Democratic Party,Democrat
Edward B. Pond,Q5341678,Democratic Party,Democrat
Edward B. Simpson,Q21177568,Republican Party,Republican
Edward B. Teague III,Q5341687,Republican Party,Republican
Edward B. Thomas,Q5341688,Republican Party,Republican
Edward B. Vreeland,Q5341689,Republican Party,Republican
Edward Ball (congressman),Q5341733,Whig Party,Other
Edward Barbour,Q56811919,,Other
Edward Bassett,Q808766,Democratic Party,Democrat
Edward Bates,Q1291670,Republican Party,Republican
Edward Baumeister,Q19560049,Republican Party,Republican
Edward Beard,Q1291674,Democratic Party,Democrat
Edward Biddle,Q5341891,,Other
Edward Bishop Dudley,Q884015,Democratic Party,Democrat
Edward Blackmon Jr.,Q19867380,Democratic Party,Democrat
Edward Blum (activist),Q25189490,,Other
Edward Bluthardt,Q33089742,Republican Party,Republican
Edward Boland,Q1291728,Democratic Party,Democrat
Edward Bonin,Q5343623,Republican Party,Republican
Edward Bradford Pickett,Q17364131,Democratic Party,Democrat
Edward Bradley (politician),Q1291749,Democratic Party,Democrat
Edward Braunstein,Q5341997,Democratic Party,Democrat
Edward Breitung,Q214858,Republican Party,Republican
Edward Brooke,Q3276635,Republican Party,Republican
Edward Brooks (Wisconsin politician),Q5342032,Republican Party,Republican
Edward Buchanan,Q5342049,Republican Party,Republican
Edward Bullock (American politician),Q5342061,,Other
Edward Burd Grubb Jr.,Q5342074,Republican Party,Republican
Edward Burd Hubley,Q5342076,Democratic Party,Democrat
Edward Burleson,Q1135672,Democratic Party,Democrat
Edward Burleson Raymond,Q5342088,,Other
Edward Burnett,Q1291790,Democratic Party,Democrat
Edward Butcher,Q126949947,Republican Party,Republican
Edward Butler (Louisiana politician),Q115802525,,Other
Edward Butler (New Hampshire politician),Q5342112,Democratic Party,Democrat
Edward Butterworth,Q60379241,Republican Party,Republican
Edward Buttrey,Q5342116,Republican Party,Republican
Edward Byllynge,Q3048472,,Other
Edward C. Akin,Q20707384,Republican Party,Republican
Edward C. Aldridge Jr.,Q5342126,Republican Party,Republican
Edward C. Babb,Q20963378,Republican Party,Republican
Edward C. Bosbyshell,Q5342128,,Other
Edward C. Burks,Q5342129,,Other
Edward C. Cabell,Q1291864,Whig Party,Other
Edward C. Carroll,Q52636933,,Other
Edward C. Curtis,Q18631665,Republican Party,Republican
Edward C. Eicher,Q1291814,Democratic Party,Democrat
Edward C. Finch,Q19560488,,Other
Edward C. Kehr,Q1291819,Democratic Party,Democrat
Edward C. Krause,Q5342146,Republican Party,Republican
Edward C. Kretlow,Q18389386,Democratic Party,Democrat
Edward C. Little,Q1291826,Republican Party,Republican
Edward C. Macfarlane,Q28080921,Hawaiian National Reform Party,Other
Edward C. Mann,Q1291827,Democratic Party,Democrat
Edward C. Marshall,Q1291832,Democratic Party,Democrat
Edward C. McFetridge,Q5342152,,Other
Edward C. Meland,Q19974931,Republican Party,Republican
Edward C. Moran Jr.,Q1291831,Democratic Party,Democrat
Edward C. Noonan,Q5342155,American Independent Party,Other
Edward C. Notbohm,Q54952821,Republican Party,Republican
Edward C. Oliver,Q66901816,,Other
Edward C. Peirce,Q52123957,,Other
Edward C. Pierce,Q5342159,,Other
Edward C. Reed,Q5342162,Democratic Party,Democrat
Edward C. Shannon,Q5342166,Republican Party,Republican
Edward C. Stokes,Q436967,Republican Party,Republican
Edward C. Sullivan,Q5342171,Democratic Party,Democrat
Edward C. Walker (New York politician),Q5342175,Republican Party,Republican
Edward C. Wall,Q5342176,Democratic Party,Democrat
Edward C. Walthall,Q369143,Democratic Party,Democrat
Edward C. Werner,Q20710497,Democratic Party,Democrat
Edward Cardillo,Q113415549,Democratic Party,Democrat
Edward Carrington,Q5342218,,Other
Edward Carrington Marshall,Q28062451,,Other
Edward Carrington Venable,Q1291867,Democratic Party,Democrat
Edward Carter (of Blenheim),Q111951222,,Other
Edward Casso,Q5342227,Democratic Party,Democrat
Edward Charles Ericson,Q27178103,Republican Party,Republican
Edward Charles Mickey,Q97357743,,Other
Edward Chavez (politician),Q5342281,Republican Party,Republican
Edward Cirillo,Q63347342,Republican Party,Republican
Edward Clark (governor),Q542663,Democratic Party,Democrat
Edward Clarke Smith,Q5342319,Republican Party,Republican
Edward Clere,Q5342320,Republican Party,Republican
Edward Coles,Q643652,Democratic-Republican Party,Democrat
Edward Collins (Wisconsin politician),Q107365888,Democratic Party,Democrat
Edward Colman (American politician),Q20487005,Republican Party,Republican
Edward Colston (U.S. Representative),Q1291929,Federalist Party,Other
Edward Conner,Q26251064,Republican Party,Republican
Edward Cooper (West Virginia politician),Q1291948,Republican Party,Republican
Edward Cooper (mayor),Q5342404,Democratic Party,Democrat
Edward Craig (politician),Q5342443,Republican Party,Republican
Edward Cranfield,Q5342449,,Other
Edward Cross (politician),Q1291967,Democratic Party,Democrat
Edward Crossland,Q1291975,Democratic Party,Democrat
Edward Crouch,Q5342468,Republican Party,Republican
Edward Cullerton,Q96741562,,Other
Edward Curtis (politician),Q211901,Whig Party,Other
Edward Curtis Smith,Q882304,Republican Party,Republican
Edward D. Baker,Q131929,Republican Party,Republican
Edward D. Bangs,Q5342484,,Other
Edward D. Cooke,Q5342487,Republican Party,Republican
Edward D. Crippa,Q163011,Republican Party,Republican
Edward D. DiPrete,Q1291990,Republican Party,Republican
Edward D. Ellis,Q58816317,Democratic Party,Democrat
Edward D. Garza,Q5342490,Democratic Party,Democrat
Edward D. Gazzam,Q97016023,,Other
Edward D. Green,Q112184583,Republican Party,Republican
Edward D. Hayden,Q1291997,Republican Party,Republican
Edward D. Hays,Q1291995,Republican Party,Republican
Edward D. Holbrook,Q1292048,Democratic Party,Democrat
Edward D. Holton,Q16062294,Republican Party,Republican
Edward D. Roberts,Q5342508,Republican Party,Republican
Edward D. Shurtleff,Q23017225,Republican Party,Republican
Edward D. White Sr.,Q24389,Whig Party,Other
Edward D. Ziegler,Q5342525,Democratic Party,Democrat
Edward Danner,Q22958902,,Other
Edward Darlington,Q5342529,Anti-Masonic Party,Other
Edward Davies (Pennsylvania politician),Q5342536,Anti-Masonic Party,Other
Edward DeSaulnier,Q89873750,,Other
Edward Degener,Q772876,Republican Party,Republican
Edward Delafield Smith,Q71333510,Republican Party,Republican
Edward Devitt,Q1292046,Republican Party,Republican
Edward Dickinson,Q1292062,Whig Party,Other
Edward Diego Reyes,Q26235892,Democratic Party of Guam,Democrat
Edward Dodd,Q3021449,Republican Party,Republican
Edward Douglass White,Q706463,Democratic Party,Democrat
Edward Dowse,Q1292080,Democratic-Republican Party,Democrat
Edward Duplex,Q5342674,Republican Party,Republican
Edward Durr,Q109408280,Republican Party,Republican
Edward E. Barsness,Q111227503,,Other
Edward E. Beidleman,Q5342687,Republican Party,Republican
Edward E. Browne,Q1292090,Republican Party,Republican
Edward E. Burns,Q16066543,Republican Party,Republican
Edward E. Denison,Q5342692,Republican Party,Republican
Edward E. Dresbach,Q122877530,Democratic Party,Democrat
Edward E. Elliott,Q16241535,Democratic Party,Democrat
Edward E. Eslick,Q1292150,Democratic Party,Democrat
Edward E. Fitzgibbon,Q20656924,Democratic Party,Democrat
Edward E. Gnichtel,Q19879538,Republican Party,Republican
Edward E. Goodwyn,Q25158634,Democratic Party,Democrat
Edward E. Haddock,Q25343483,Democratic Party,Democrat
Edward E. Holland,Q1292152,Democratic Party,Democrat
Edward E. Holloway,Q56849475,,Other
Edward E. Johnston,Q5342696,Republican Party,Republican
Edward E. Lane,Q42291581,Democratic Party,Democrat
Edward E. Laughlin,Q23615386,Republican Party,Republican
Edward E. Merritt,Q114785028,Republican Party,Republican
Edward E. Miller,Q5342702,Republican Party,Republican
Edward E. Moore,Q5342703,Republican Party,Republican
Edward E. Robbins,Q5342812,Republican Party,Republican
Edward E. Willard,Q5342710,Republican Party,Republican
Edward E. Willey,Q5342709,,Other
Edward Early,Q5342721,Democratic Party,Democrat
Edward Eastman,Q18150203,Democratic Party,Democrat
Edward Easton,Q5342724,Democratic Party,Democrat
Edward Echols,Q5342728,Democratic Party,Democrat
Edward Edgerly,Q5342733,,Other
Edward Eli Saleeby,Q124734125,,Other
Edward Engerud,Q5342780,,Other
Edward Everett,Q434905,Republican Party,Republican
Edward Everett Bruen,Q5342806,,Other
Edward Everett Grosscup,Q16029194,Democratic Party,Democrat
Edward Everett Smith,Q5342813,Republican Party,Republican
Edward F. Burns,Q5342823,Republican Party,Republican
Edward F. Cassidy,Q133260839,,Other
Edward F. Coppinger,Q5342828,Democratic Party,Democrat
Edward F. Cox,Q5342827,Republican Party,Republican
Edward F. Crawford (attorney),Q18739632,Republican Party,Republican
Edward F. Dickinson,Q5342829,Democratic Party,Democrat
Edward F. Fagan,Q105918901,,Other
Edward F. Hansen,Q23932735,Republican Party,Republican
Edward F. Harrington (state representative),Q47087835,Democratic Party,Democrat
Edward F. Harris,Q19360533,Republican Party,Republican
Edward F. Healey,Q110612916,Democratic Party,Democrat
Edward F. Hilker,Q5342832,Republican Party,Republican
Edward F. Jones,Q1292166,Democratic Party,Democrat
Edward F. Kileen,Q5342835,Republican Party,Republican
Edward F. McClain,Q16097216,Democratic Party,Democrat
Edward F. McDonald,Q1292172,Democratic Party,Democrat
Edward F. McGrady,Q17183794,,Other
Edward F. McLaughlin,Q30612958,Democratic Party,Democrat
Edward F. McLaughlin Jr.,Q1292985,Democratic Party,Democrat
Edward F. McNulty,Q74046878,,Other
Edward F. Mertz,Q19974937,Democratic Party,Democrat
Edward F. Porter,Q5342840,Republican Party,Republican
Edward F. Rakow,Q5342842,Democratic Party,Democrat
Edward F. Reilly,Q5342844,Democratic Party,Democrat
Edward F. Reilly Jr.,Q115525347,Republican Party,Republican
Edward F. Riley,Q19360620,Democratic Party,Democrat
Edward F. Sensor,Q130767643,Democratic Party,Democrat
Edward F. Tattnall,Q1292190,Democratic Party,Democrat
Edward F. Vincent,Q15997129,Republican Party,Republican
Edward F. W. Ellis,Q5342848,,Other
Edward Fadeley,Q5342854,Democratic Party,Democrat
Edward Falles Spence,Q5342862,Republican Party,Republican
Edward Fenlon,Q378031,Democratic Party,Democrat
Edward Fike,Q5342895,Republican Party,Republican
Edward Fitzsimmons Dunne,Q399536,Democratic Party,Democrat
Edward Floyd-Jones,Q95692452,,Other
Edward Francis Blewitt,Q63351579,Democratic Party,Democrat
Edward Francis Gordon,Q115269109,Republican Party,Republican
Edward Franklin Bingham,Q5342999,Democratic Party,Democrat
Edward Frost,Q20656942,,Other
Edward G. Biester Jr.,Q5343029,Republican Party,Republican
Edward G. Breen,Q5343032,Democratic Party,Democrat
Edward G. Connolly,Q5343034,Democratic Party,Democrat
Edward G. Hayne,Q98562904,Democratic Party,Democrat
Edward G. Janeway,Q5343035,Republican Party,Republican
Edward G. Novak,Q111229297,,Other
Edward G. Rohrbough,Q1244493,Republican Party,Republican
Edward G. Tracy,Q98740396,Republican Party,Republican
Edward G. Walker,Q16030518,Republican Party,Republican
Edward G. Wilbor,Q5343044,Republican Party,Republican
Edward Gaffney,Q5343046,Republican Party,Republican
Edward Gallagher (politician),Q96377010,Republican Party,Republican
Edward Garmatz,Q1156145,Democratic Party,Democrat
Edward George Ryan,Q5343092,Democratic Party,Democrat
Edward Gilbert,Q1292340,Democratic Party,Democrat
Edward Gilmore,Q1292342,Democratic Party,Democrat
Edward Glines,Q5343121,Republican Party,Republican
Edward Goodwin Burnham,Q16031675,,Other
Edward Grassman,Q15998233,Republican Party,Republican
Edward Greef,Q5343161,Republican Party,Republican
Edward Green Bradford,Q5343163,,Other
Edward Green Bradford II,Q5343164,,Other
Edward Griffin Parker,Q5343185,,Other
Edward Griffith (American politician),Q30122488,Democratic Party,Democrat
Edward Guerra Kodatt,Q105666021,Democratic Party,Democrat
Edward Gurney,Q372686,Republican Party,Republican
Edward H. Allen,Q5343217,Republican Party,Republican
Edward H. Anderson,Q5343218,Republican Party,Republican
Edward H. Branchfield,Q123419288,,Other
Edward H. C. Long,Q2277813,Whig Party,Other
Edward H. Deavitt,Q5343225,Republican Party,Republican
Edward H. Edgerton,Q5343228,Republican Party,Republican
Edward H. Funston,Q1292420,Republican Party,Republican
Edward H. Gillette,Q1292423,Greenback Party,Other
Edward H. Hynes,Q62382091,Democratic Party,Democrat
Edward H. Ives,Q16203389,Democratic Party,Democrat
Edward H. Janssen,Q5343236,Democratic Party,Democrat
Edward H. Jenison,Q5343238,Republican Party,Republican
Edward H. Kiefer,Q5343241,Socialist Party of America,Other
Edward H. Krebs,Q5343243,Republican Party,Republican
Edward H. Kruse,Q1292431,Democratic Party,Democrat
Edward H. Larkin,Q5343244,,Other
Edward H. Lehner,Q77942855,Democratic Party,Democrat
Edward H. Levi,Q1292438,Republican Party,Republican
Edward H. Lyons,Q24680813,Republican Party,Republican
Edward H. McNamara,Q5343247,Democratic Party,Democrat
Edward H. Moore,Q1292437,Republican Party,Republican
Edward H. Moren,Q1280708,Democratic Party,Democrat
Edward H. Morris,Q65048470,,Other
Edward H. R. Green,Q1292441,Republican Party,Republican
Edward H. Randolph,Q100698188,Democratic Party,Democrat
Edward H. Rees,Q1292528,Republican Party,Republican
Edward H. Ripley,Q16059075,Republican Party,Republican
Edward H. Rollins,Q127524,Republican Party,Republican
Edward H. Salmon,Q27881295,Democratic Party,Democrat
Edward H. Smith (politician),Q1292449,Democratic Party,Democrat
Edward H. Sprague,Q21177028,Republican Party,Republican
Edward H. Stiles,Q112784846,Republican Party,Republican
Edward H. Tarrant,Q14946407,,Other
Edward Hagen (Minnesota politician),Q111228139,,Other
Edward Haight (politician),Q1590745,Democratic Party,Democrat
Edward Hall (New York politician),Q106417790,Democratic Party,Democrat
Edward Haluska,Q5343282,Democratic Party,Democrat
Edward Hammond (politician),Q983175,Democratic Party,Democrat
Edward Hand,Q5343297,,Other
Edward Hankinson Thayer,Q116932701,Democratic Party,Democrat
Edward Hanrahan,Q5343299,,Other
Edward Hanson,Q3467057,,Other
Edward Hawkins (New York politician),Q5343368,Democratic Party,Democrat
Edward Heath (New Orleans),Q5343391,,Other
Edward Heathcote,Q16066562,Republican Party,Republican
Edward Helfrick,Q5343394,Republican Party,Republican
Edward Hempstead,Q1292504,,Other
Edward Henry Delafield,Q29261502,,Other
Edward Henry Durell,Q5343414,Republican Party,Republican
Edward Henry Laubach,Q118961183,,Other
Edward Henry Ozmun,Q16043549,Republican Party,Republican
Edward Henry Winter,Q5343424,Republican Party,Republican
Edward Hicks (pioneer),Q118917483,Democratic Party,Democrat
Edward Hidalgo,Q1292540,Democratic Party,Democrat
Edward Hill (Mississippi politician),Q109905492,,Other
Edward Hills Wason,Q1292559,Republican Party,Republican
Edward Hogan (Missouri politician),Q60743306,,Other
Edward Hogan (New York politician),Q5343478,Democratic Party,Democrat
Edward Holland (mayor),Q5343483,,Other
Edward Hoos,Q5343496,,Other
Edward Hopkins,Q1292576,,Other
Edward Howell (politician),Q16065586,Democratic Party,Democrat
Edward Hughes Thomson,Q5343540,,Other
Edward Humphreys (politician),Q135111505,,Other
Edward Hunter (Mormon),Q5343562,,Other
Edward I. Alexander,Q110258330,,Other
Edward I. Burhans,Q5343579,Democratic Party,Democrat
Edward I. Cain,Q104057747,,Other
Edward I. Edwards,Q436902,Democratic Party,Democrat
Edward I. Kidd,Q26242977,Republican Party,Republican
Edward I. Slupecki,Q25350757,Democratic Party,Democrat
Edward Isaac Golladay,Q1292607,Democratic Party,Democrat
Edward Itta,Q27949781,,Other
Edward J Johnson Jr,Q136398091,,Other
Edward J. Amann Jr.,Q47087956,Republican Party,Republican
Edward J. Barrett (politician),Q18738975,Democratic Party,Democrat
Edward J. Black,Q1292757,Democratic Party,Democrat
Edward J. Blythin,Q5343621,Republican Party,Republican
Edward J. Boomer,Q20656761,Republican Party,Republican
Edward J. Brundage,Q20656780,Republican Party,Republican
Edward J. Burke,Q19518525,Democratic Party,Democrat
Edward J. C. Kewen,Q5343625,,Other
Edward J. Canfield,Q18704952,Republican Party,Republican
Edward J. Clancy Jr.,Q5343628,Democratic Party,Democrat
Edward J. Cleary,Q19560250,Republican Party,Republican
Edward J. Collins Jr.,Q5343629,,Other
Edward J. Connelly,Q5343630,Democratic Party,Democrat
Edward J. Coughlin,Q15995682,Democratic Party,Democrat
Edward J. Cronin,Q5343631,Democratic Party,Democrat
Edward J. Curtis,Q1292611,Republican Party,Republican
Edward J. Delorey,Q120203745,,Other
Edward J. Dengel,Q20031293,Republican Party,Republican
Edward J. Donovan,Q65037376,Democratic Party,Democrat
Edward J. Dowling,Q16066842,Democratic Party,Democrat
Edward J. Dunphy,Q1193003,Democratic Party,Democrat
Edward J. Early Jr.,Q26501382,Democratic Party,Democrat
Edward J. Elsaesser,Q5343641,Republican Party,Republican
Edward J. FitzSimons,Q131566813,,Other
Edward J. Flynn,Q1292615,Democratic Party,Democrat
"Edward J. Gay (politician, born 1816)",Q504245,Democratic Party,Democrat
"Edward J. Gay (politician, born 1878)",Q455006,Democratic Party,Democrat
Edward J. Gearty,Q5343644,Democratic Party,Democrat
Edward J. Hart,Q198301,Democratic Party,Democrat
Edward J. Hughes,Q18715953,Democratic Party,Democrat
Edward J. Hughes Jr.,Q29901500,Democratic Party,Democrat
Edward J. Kasemeyer,Q5343654,Democratic Party,Democrat
Edward J. Kelley,Q15999471,Democratic Party,Democrat
Edward J. Kempf,Q23073576,Republican Party,Republican
Edward J. Kennedy,Q89025769,Democratic Party,Democrat
Edward J. Keyes,Q21597896,Republican Party,Republican
Edward J. King,Q441563,Republican Party,Republican
Edward J. Lewis (California politician),Q138266692,,Other
Edward J. Livernash,Q1292634,Democratic Party,Democrat
Edward J. Logue,Q5343660,,Other
Edward J. Mason (politician),Q99462903,,Other
Edward J. McDermott,Q5343663,Democratic Party,Democrat
Edward J. McManus,Q5343853,Democratic Party,Democrat
Edward J. O'Neill (Rhode Island politician),Q5343676,,Other
Edward J. Patten,Q268677,Democratic Party,Democrat
Edward J. Reilly,Q19360618,Democratic Party,Democrat
Edward J. Robeson Jr.,Q1292691,Democratic Party,Democrat
Edward J. Roethe,Q16066927,Republican Party,Republican
Edward J. Shaw,Q130767642,Democratic Party,Democrat
Edward J. Smejkal,Q63465035,Republican Party,Republican
Edward J. Smith (American politician),Q5343686,Democratic Party,Democrat
Edward J. Speno,Q17479492,Republican Party,Republican
Edward J. Stack,Q1292651,Democratic Party,Democrat
Edward J. Sullivan,Q5343691,Democratic Party,Democrat
Edward J. Thye,Q882494,Republican Party,Republican
Edward J. Tomczyk,Q37989570,Democratic Party,Democrat
Edward J. Trombetta,Q112037489,Democratic Party,Democrat
Edward J. Viall,Q5343694,,Other
Edward J. Voke,Q5343695,Democratic Party,Democrat
Edward J. Walsh (politician),Q108696033,Democratic Party,Democrat
Edward J. Zeman,Q66565689,Democratic Party,Democrat
Edward Jackamonis,Q5343703,Democratic Party,Democrat
Edward James Roye,Q879069,True Whig Party,Other
Edward Jeffries,Q5343749,Republican Party,Republican
Edward Jenner Warren,Q109347262,,Other
Edward Jesup Alvord,Q20312472,,Other
Edward John King,Q5343786,Republican Party,Republican
Edward Johnson (mayor),Q5343805,,Other
Edward Jones (North Carolina politician),Q5343819,Democratic Party,Democrat
Edward Joseph Gardner,Q5343841,Democratic Party,Democrat
Edward Joseph Kelly,Q491933,Democratic Party,Democrat
Edward Joseph Thériault,Q5343857,Liberal Party of Canada,Other
Edward Joy Morris,Q5343862,Republican Party,Republican
Edward Jurith,Q5343873,Democratic Party,Democrat
Edward K. Delaney,Q5343874,Democratic Party,Democrat
Edward K. Gill,Q5343876,Republican Party,Republican
Edward K. Snead,Q56225986,,Other
Edward K. Valentine,Q384823,Republican Party,Republican
Edward Kavanagh,Q880339,Democratic Party,Democrat
Edward Keating,Q1292774,Democratic Party,Democrat
Edward Kent,Q59729,Whig Party,Other
Edward Keogh,Q5343921,Democratic Party,Democrat
Edward Kern (police officer),Q17183471,,Other
Edward King (Ohio politician),Q5343942,National Republican Party,Republican
Edward L. Ayers,Q5343985,,Other
Edward L. Bader,Q3048596,Republican Party,Republican
Edward L. Breeden Jr.,Q93536944,,Other
Edward L. Browne,Q19974430,Republican Party,Republican
Edward L. Dexter,Q96107202,Republican Party,Republican
Edward L. French,Q19560514,Republican Party,Republican
Edward L. Garden,Q5344005,Republican Party,Republican
Edward L. Graf,Q16066915,Republican Party,Republican
Edward L. Hamilton,Q1292825,Republican Party,Republican
Edward L. Howard,Q5344011,Republican Party,Republican
Edward L. Jackson,Q968455,Republican Party,Republican
Edward L. Jennings,Q5344013,Democratic Party,Democrat
Edward L. Keyes (politician),Q66448843,,Other
Edward L. Leahy,Q1292835,Democratic Party,Democrat
Edward L. Marcus,Q126918976,,Other
Edward L. Martin,Q1292831,Democratic Party,Democrat
Edward L. O'Neill,Q1292838,Democratic Party,Democrat
Edward L. Pierce,Q5344023,,Other
Edward L. Sittler Jr.,Q5344030,Republican Party,Republican
Edward L. Smith,Q105098221,,Other
Edward L. Stokes,Q5344031,Republican Party,Republican
Edward L. Taylor Jr.,Q5344032,Republican Party,Republican
Edward L. Thrasher,Q5344033,,Other
Edward Lane (Illinois politician),Q5344049,Democratic Party,Democrat
Edward Langworthy (Founding Father),Q1292848,,Other
Edward Lawrence Logan,Q5344070,Democratic Party,Democrat
Edward Lees,Q20714003,,Other
Edward Lincoln Abel,Q17321357,Republican Party,Republican
Edward Livingston,Q544396,Democratic Party,Democrat
Edward Livingston (speaker),Q5344171,Democratic Party,Democrat
Edward Lloyd (Colonial Governor of Maryland),Q5344184,,Other
Edward Lloyd (Continental Congress),Q5344185,,Other
Edward Lloyd (Governor of Maryland),Q537226,Democratic Party,Democrat
Edward Lone Fight,Q5344205,,Other
Edward Lowe Martin,Q5344218,Democratic Party,Democrat
Edward Lucas (congressman),Q64798,Democratic Party,Democrat
Edward Lucyk,Q5344230,Democratic Party,Democrat
Edward Lunn Young,Q1292910,Republican Party,Republican
Edward Lyle,Q106517333,,Other
Edward M. Beers,Q5344247,Republican Party,Republican
Edward M. Bowman,Q43080418,,Other
Edward M. Cole,Q97932929,Democratic Party,Democrat
Edward M. Davis,Q5344256,Republican Party,Republican
